metric,model_4_features,model_8_features
Accuracy,0.7690557451649602,0.745544178991278
Precision,0.5184563758389261,0.47674418604651164
Recall,0.4896988906497623,0.6497622820919176
F1-Score,0.5036674816625917,0.5499664654594232
CV Accuracy,0.7750384452817971,0.7513272840094607
CV F1,0.4946360438934489,0.5545400835159487
Training Samples,13181.0,13181.0
Test Samples,2637.0,2637.0
Features,4.0,8.0
