variant,model_version,model,sampling,n_records,class_distribution,n_features,random_state,test_size,dev_size,test_size_records,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,confusion_matrix,artifact_path
without_smote,v3.0.0,GaussianNB,none,13347,"{""Tepat Waktu"": 3211, ""Terlambat"": 10136}",4,42,0.2,10677,2670,0.7413128446517766,0.36171591851950363,0.10277997324902724,0.15917369799208458,0.7378277153558053,0.34065934065934067,0.09657320872274143,0.15048543689320387,"[[62, 580], [120, 1908]]",D:\TA\TugasAkhirNita\models\gaussian_nb_v3\without_smote\model.joblib
with_smote,v3.0.0,GaussianNB,SMOTE,13347,"{""Tepat Waktu"": 3211, ""Terlambat"": 10136}",4,42,0.2,10677,2670,0.725576189322859,0.36380452139325803,0.18723857003891048,0.24635786166556853,0.7164794007490637,0.3303834808259587,0.17445482866043613,0.22833843017329256,"[[112, 530], [227, 1801]]",D:\TA\TugasAkhirNita\models\gaussian_nb_v3\with_smote\model.joblib
